"Iteracja","Best Result","Worst Result","Average Cost"
"1","4172","4407","4224"
"2","4515","4521","4516"
"3","4831","5127","4910"
"4","4171","4326","4218"
"5","4236","4390","4279"
"6","5105","5208","5132"
"7","4432","4691","4536"
"8","3950","3990","3966"
"9","4552","4929","4637"
"10","3968","4047","4009"
