"Iteracja","Best Result","Worst Result","Average Cost","OdchylenieStandardowe"
"1","351411","883439","516329","142767.46060333465"
"2","349902","888674","507575","137510.30006290632"
"3","346483","871031","493306","131813.95545847237"
"4","360807","871082","509510","134774.81001840418"
"5","351960","899663","511518","137441.78103091952"
"6","351233","887341","512518","138693.62747805708"
"7","354791","859519","500501","131800.6463507262"
"8","351414","898632","521818","141980.8694736145"
"9","359008","857275","507741","128745.57992262207"
"10","351387","871093","509886","131981.53536460444"
