"Iteracja","Current","Best","Worst","Average"
"159","6038143","5799567","6121271","5997878"
"160","5977305","5799567","6121271","5997750"
"161","6054337","5799567","6121271","5998101"
"162","5973348","5799567","6121271","5997948"
"163","6040134","5799567","6121271","5998207"
"164","6053903","5799567","6121271","5998547"
"165","6024923","5799567","6121271","5998707"
"166","6034345","5799567","6121271","5998921"
"167","6092817","5799567","6121271","5999483"
"168","5876581","5799567","6121271","5998752"
"169","5973511","5799567","6121271","5998603"
"170","6099446","5799567","6121271","5999196"
"171","5981257","5799567","6121271","5999091"
"172","5926801","5799567","6121271","5998671"
"173","5955828","5799567","6121271","5998423"
"174","5952419","5799567","6121271","5998158"
"175","5947492","5799567","6121271","5997869"
"176","5961207","5799567","6121271","5997661"
"177","6055393","5799567","6121271","5997987"
"178","6007586","5799567","6121271","5998041"
"179","5995538","5799567","6121271","5998027"
"180","6080491","5799567","6121271","5998485"
"181","5983176","5799567","6121271","5998400"
"182","5939925","5799567","6121271","5998079"
"183","6043217","5799567","6121271","5998326"
"184","5989803","5799567","6121271","5998279"
"185","6057313","5799567","6121271","5998598"
"186","5991205","5799567","6121271","5998559"
"187","6026999","5799567","6121271","5998711"
"188","5993156","5799567","6121271","5998681"
"189","6017093","5799567","6121271","5998779"
"190","6031321","5799567","6121271","5998950"
"191","5917788","5799567","6121271","5998525"
"192","6023012","5799567","6121271","5998652"
"193","5989903","5799567","6121271","5998607"
"194","5992130","5799567","6121271","5998574"
"195","5952900","5799567","6121271","5998340"
"196","6120276","5799567","6121271","5998962"
"197","5928307","5799567","6121271","5998603"
"198","5948948","5799567","6121271","5998352"
"199","5925708","5799567","6121271","5997987"
"200","5948233","5799567","6121271","5997738"
"201","6031731","5799567","6121271","5997908"
"202","5975113","5799567","6121271","5997795"
"203","5921613","5799567","6121271","5997419"
"204","6047460","5799567","6121271","5997665"
"205","6078362","5799567","6121271","5998058"
"206","6038031","5799567","6121271","5998252"
"207","6004218","5799567","6121271","5998281"
"208","5945973","5799567","6121271","5998030"
"209","5980418","5799567","6121271","5997945"
"210","6045729","5799567","6121271","5998173"
"211","6018436","5799567","6121271","5998269"
"212","5983185","5799567","6121271","5998198"
"213","5926944","5799567","6121271","5997863"
"214","6077115","5799567","6121271","5998234"
"215","5965428","5799567","6121271","5998081"
"216","5975213","5799567","6121271","5997975"
"217","5923195","5799567","6121271","5997631"
"218","6072301","5799567","6121271","5997973"
"219","5983980","5799567","6121271","5997909"
"220","6076877","5799567","6121271","5998268"
"221","5974675","5799567","6121271","5998161"
"222","6118305","5799567","6121271","5998703"
"223","6013507","5799567","6121271","5998769"
"224","6145222","5799567","6145222","5999423"
"225","6078076","5799567","6145222","5999772"
"226","5964635","5799567","6145222","5999617"
"227","5994354","5799567","6145222","5999594"
"228","5952510","5799567","6145222","5999387"
"229","6010053","5799567","6145222","5999434"
"230","5917153","5799567","6145222","5999076"
"231","5983768","5799567","6145222","5999010"
"232","5979615","5799567","6145222","5998926"
"233","5941355","5799567","6145222","5998679"
"234","5980384","5799567","6145222","5998601"
"235","5989153","5799567","6145222","5998561"
"236","6007640","5799567","6145222","5998599"
"237","6002131","5799567","6145222","5998614"
"238","6021502","5799567","6145222","5998710"
"239","6102479","5799567","6145222","5999144"
"240","6022667","5799567","6145222","5999242"
"241","5879502","5799567","6145222","5998746"
"242","6080928","5799567","6145222","5999085"
"243","5979270","5799567","6145222","5999004"
"244","5996663","5799567","6145222","5998994"
"245","5972296","5799567","6145222","5998885"
"246","5941641","5799567","6145222","5998652"
"247","6031736","5799567","6145222","5998786"
"248","6001111","5799567","6145222","5998796"
"249","5996042","5799567","6145222","5998785"
"250","6019527","5799567","6145222","5998868"
"251","6082564","5799567","6145222","5999201"
"252","5931770","5799567","6145222","5998933"
"253","5976308","5799567","6145222","5998844"
"254","5972111","5799567","6145222","5998739"
"255","5908014","5799567","6145222","5998383"
"256","5981204","5799567","6145222","5998316"
"257","5968547","5799567","6145222","5998200"
"258","6021165","5799567","6145222","5998289"
"259","5905959","5799567","6145222","5997932"
"260","6003474","5799567","6145222","5997954"
"261","5951320","5799567","6145222","5997775"
"262","5951162","5799567","6145222","5997597"
"263","5882763","5799567","6145222","5997161"
"264","5982021","5799567","6145222","5997103"
"265","5999698","5799567","6145222","5997113"
"266","5973010","5799567","6145222","5997022"
"267","5974282","5799567","6145222","5996937"
"268","5951152","5799567","6145222","5996766"
"269","6007670","5799567","6145222","5996807"
"270","5935989","5799567","6145222","5996582"
"271","6001994","5799567","6145222","5996602"
"272","5910415","5799567","6145222","5996285"
"273","5926240","5799567","6145222","5996028"
"274","6036123","5799567","6145222","5996175"
"275","6004333","5799567","6145222","5996204"
"276","6114126","5799567","6145222","5996631"
"277","5904937","5799567","6145222","5996300"
