"Iteracja","Current","Best","Worst","Average"
"139","1983318","1904150","2176143","2039148"
"140","2031013","1904150","2176143","2039090"
"141","2135913","1904150","2176143","2039776"
"142","1995286","1904150","2176143","2039463"
"143","2019105","1904150","2176143","2039321"
"144","2062954","1904150","2176143","2039485"
"145","2015583","1904150","2176143","2039320"
"146","2056127","1904150","2176143","2039435"
"147","1968636","1904150","2176143","2038953"
"148","2070930","1904150","2176143","2039169"
"149","2075249","1904150","2176143","2039411"
"150","2019643","1904150","2176143","2039280"
"151","2023730","1904150","2176143","2039177"
"152","2076671","1904150","2176143","2039423"
"153","1992399","1904150","2176143","2039116"
"154","2020318","1904150","2176143","2038994"
"155","2015338","1904150","2176143","2038841"
"156","1941806","1904150","2176143","2038219"
"157","1977620","1904150","2176143","2037833"
"158","2004559","1904150","2176143","2037623"
"159","2105032","1904150","2176143","2038047"
"160","2017484","1904150","2176143","2037918"
"161","2028914","1904150","2176143","2037862"
"162","2000996","1904150","2176143","2037635"
"163","2001039","1904150","2176143","2037410"
"164","2051682","1904150","2176143","2037497"
"165","2047724","1904150","2176143","2037559"
"166","2058038","1904150","2176143","2037682"
"167","2080332","1904150","2176143","2037938"
"168","2068518","1904150","2176143","2038120"
"169","2057066","1904150","2176143","2038232"
"170","2084183","1904150","2176143","2038502"
"171","2048470","1904150","2176143","2038561"
"172","1953551","1904150","2176143","2038066"
"173","2086685","1904150","2176143","2038347"
"174","2103672","1904150","2176143","2038723"
"175","2084265","1904150","2176143","2038983"
"176","2046060","1904150","2176143","2039023"
"177","2032804","1904150","2176143","2038988"
"178","1985587","1904150","2176143","2038688"
"179","2012903","1904150","2176143","2038544"
"180","2045080","1904150","2176143","2038580"
"181","2021943","1904150","2176143","2038488"
"182","2096540","1904150","2176143","2038807"
"183","2044345","1904150","2176143","2038838"
"184","1928879","1904150","2176143","2038240"
"185","2072373","1904150","2176143","2038425"
"186","2120164","1904150","2176143","2038864"
"187","2022383","1904150","2176143","2038776"
"188","1985578","1904150","2176143","2038493"
"189","1978920","1904150","2176143","2038178"
"190","2031249","1904150","2176143","2038141"
"191","2070949","1904150","2176143","2038313"
"192","2052249","1904150","2176143","2038386"
"193","2010384","1904150","2176143","2038240"
"194","2034947","1904150","2176143","2038224"
"195","2107460","1904150","2176143","2038579"
"196","2041192","1904150","2176143","2038592"
"197","2027580","1904150","2176143","2038536"
"198","2035084","1904150","2176143","2038519"
"199","2064893","1904150","2176143","2038651"
"200","2055360","1904150","2176143","2038735"
"201","2003460","1904150","2176143","2038559"
"202","2030762","1904150","2176143","2038521"
"203","2064609","1904150","2176143","2038649"
"204","1979229","1904150","2176143","2038358"
"205","2131677","1904150","2176143","2038813"
"206","1989874","1904150","2176143","2038575"
"207","2020657","1904150","2176143","2038489"
"208","1998731","1904150","2176143","2038298"
"209","2116606","1904150","2176143","2038672"
"210","2058934","1904150","2176143","2038769"
"211","2038219","1904150","2176143","2038766"
"212","2026436","1904150","2176143","2038708"
"213","1985223","1904150","2176143","2038457"
"214","2057312","1904150","2176143","2038545"
"215","2016213","1904150","2176143","2038441"
"216","2035566","1904150","2176143","2038428"
"217","2080443","1904150","2176143","2038622"
"218","2082951","1904150","2176143","2038825"
"219","2085732","1904150","2176143","2039039"
"220","1982866","1904150","2176143","2038784"
"221","1977183","1904150","2176143","2038505"
"222","2089647","1904150","2176143","2038735"
"223","1944184","1904150","2176143","2038311"
"224","2081810","1904150","2176143","2038506"
"225","2043185","1904150","2176143","2038526"
"226","2116100","1904150","2176143","2038870"
"227","2002488","1904150","2176143","2038709"
"228","2022483","1904150","2176143","2038638"
"229","2040708","1904150","2176143","2038647"
"230","2055502","1904150","2176143","2038720"
"231","2097948","1904150","2176143","2038977"
"232","2092622","1904150","2176143","2039208"
"233","1978114","1904150","2176143","2038946"
"234","2062943","1904150","2176143","2039048"
"235","2109541","1904150","2176143","2039348"
"236","2065574","1904150","2176143","2039459"
"237","2013289","1904150","2176143","2039349"
"238","2023406","1904150","2176143","2039282"
"239","2041485","1904150","2176143","2039291"
"240","2080569","1904150","2176143","2039463"
"241","2030406","1904150","2176143","2039426"
"242","2006406","1904150","2176143","2039289"
"243","1962471","1904150","2176143","2038973"
"244","2089949","1904150","2176143","2039182"
"245","2040998","1904150","2176143","2039189"
"246","1997401","1904150","2176143","2039020"
"247","2078542","1904150","2176143","2039180"
"248","1983483","1904150","2176143","2038955"
"249","2040550","1904150","2176143","2038961"
"250","2083382","1904150","2176143","2039139"
"251","2064294","1904150","2176143","2039239"
"252","2070887","1904150","2176143","2039365"
"253","2058767","1904150","2176143","2039442"
"254","1974535","1904150","2176143","2039186"
"255","2034213","1904150","2176143","2039167"
"256","1863891","1863891","2176143","2038482"
"257","2089881","1863891","2176143","2038682"
"258","2059954","1863891","2176143","2038764"
"259","2004175","1863891","2176143","2038631"
"260","2030012","1863891","2176143","2038598"
"261","2062662","1863891","2176143","2038690"
"262","2132350","1863891","2176143","2039047"
"263","1919036","1863891","2176143","2038591"
"264","2041767","1863891","2176143","2038603"
"265","1916289","1863891","2176143","2038141"
"266","2030374","1863891","2176143","2038112"
"267","1970320","1863891","2176143","2037858"
"268","2033213","1863891","2176143","2037841"
"269","2080405","1863891","2176143","2037999"
"270","2022776","1863891","2176143","2037943"
"271","2017184","1863891","2176143","2037866"
"272","2042626","1863891","2176143","2037884"
"273","2056808","1863891","2176143","2037953"
"274","2074972","1863891","2176143","2038088"
"275","2036273","1863891","2176143","2038082"
"276","2066359","1863891","2176143","2038184"
"277","2112378","1863891","2176143","2038452"
"278","2044931","1863891","2176143","2038475"
"279","1964884","1863891","2176143","2038211"
"280","2008222","1863891","2176143","2038104"
"281","2054234","1863891","2176143","2038162"
"282","2027396","1863891","2176143","2038123"
"283","1973893","1863891","2176143","2037897"
"284","2053560","1863891","2176143","2037952"
"285","2019947","1863891","2176143","2037888"
"286","1975473","1863891","2176143","2037670"
"287","2053988","1863891","2176143","2037727"
"288","2094829","1863891","2176143","2037925"
"289","2081942","1863891","2176143","2038078"
"290","2019245","1863891","2176143","2038013"
"291","2017753","1863891","2176143","2037943"
"292","2000157","1863891","2176143","2037814"
"293","2033864","1863891","2176143","2037800"
"294","2042799","1863891","2176143","2037817"
"295","2010632","1863891","2176143","2037725"
"296","1917691","1863891","2176143","2037320"
"297","2002171","1863891","2176143","2037201"
"298","1984283","1863891","2176143","2037024"
"299","2009892","1863891","2176143","2036933"
"300","2006056","1863891","2176143","2036830"
"301","2005991","1863891","2176143","2036728"
"302","2029391","1863891","2176143","2036703"
"303","2018784","1863891","2176143","2036644"
"304","2042028","1863891","2176143","2036662"
"305","2092381","1863891","2176143","2036844"
"306","2018020","1863891","2176143","2036783"
"307","1923426","1863891","2176143","2036414"
"308","2010990","1863891","2176143","2036331"
"309","2011680","1863891","2176143","2036251"
"310","2135777","1863891","2176143","2036572"
"311","2027266","1863891","2176143","2036542"
"312","2003672","1863891","2176143","2036437"
"313","2062580","1863891","2176143","2036521"
"314","2059486","1863891","2176143","2036594"
"315","2048545","1863891","2176143","2036632"
"316","2063352","1863891","2176143","2036716"
"317","1942358","1863891","2176143","2036419"
"318","2040925","1863891","2176143","2036433"
"319","2051136","1863891","2176143","2036479"
"320","1982785","1863891","2176143","2036311"
"321","2017293","1863891","2176143","2036252"
"322","2093392","1863891","2176143","2036429"
"323","1969768","1863891","2176143","2036223"
"324","2018279","1863891","2176143","2036168"
"325","2050922","1863891","2176143","2036213"
"326","1988737","1863891","2176143","2036067"
"327","2103158","1863891","2176143","2036272"
"328","2054251","1863891","2176143","2036327"
"329","2065732","1863891","2176143","2036417"
"330","2075026","1863891","2176143","2036534"
"331","2093434","1863891","2176143","2036706"
"332","2095292","1863891","2176143","2036882"
"333","2060890","1863891","2176143","2036954"
"334","2123556","1863891","2176143","2037213"
"335","1972744","1863891","2176143","2037021"
"336","2117709","1863891","2176143","2037261"
"337","1991970","1863891","2176143","2037127"
"338","2040719","1863891","2176143","2037137"
"339","1992144","1863891","2176143","2037005"
"340","2089304","1863891","2176143","2037158"
"341","2064536","1863891","2176143","2037239"
"342","2072924","1863891","2176143","2037343"
"343","2037993","1863891","2176143","2037345"
"344","2029398","1863891","2176143","2037322"
"345","2025219","1863891","2176143","2037287"
