"Iteracja","Best Result","Worst Result","Average Cost"
"1","122273","165149","145076"
"2","114209","156905","136214"
"3","113248","151245","128402"
"4","110691","141952","122368"
"5","107362","138217","117772"
"6","102893","129747","114660"
"7","96949","124453","110004"
"8","90304","117966","105590"
"9","89857","121167","102738"
"10","86540","124696","97299"
"11","86521","113790","93677"
"12","82696","112436","92934"
"13","79214","116543","91415"
"14","79004","112432","87904"
"15","77080","103891","85232"
"16","75533","102803","82610"
"17","73895","99781","81749"
"18","71005","104891","79984"
"19","66764","98662","76924"
"20","65685","88048","73274"
"21","63739","91113","71967"
"22","60624","103142","71426"
"23","60624","90698","69169"
"24","59979","91191","66040"
"25","57739","92533","64478"
"26","57421","83065","63082"
"27","55784","85301","61879"
"28","54203","76071","60866"
"29","52045","72070","57604"
"30","52045","80424","56740"
"31","51262","80179","56248"
"32","51262","71850","53715"
"33","48838","69757","52822"
"34","48838","82742","52857"
"35","48838","68138","50926"
"36","48838","64953","49697"
"37","48838","72069","50919"
"38","48838","70424","50849"
"39","48838","65504","49315"
"40","48838","77149","50506"
"41","48838","74852","50742"
"42","48838","61749","49689"
"43","48838","63807","50201"
"44","48838","75200","50712"
"45","48838","76909","51494"
"46","48838","69139","50011"
"47","48793","74241","51017"
"48","48620","71719","50829"
"49","48620","73892","50155"
"50","47319","63788","49641"
"51","47319","68791","49609"
"52","46975","64954","49351"
"53","46599","65666","48214"
"54","46019","74152","48960"
"55","46019","70754","49339"
"56","46019","71010","47379"
"57","45865","60764","48036"
"58","45647","72743","46809"
"59","45762","75039","47861"
"60","45678","60071","46753"
"61","45242","73070","49115"
"62","44985","61079","46561"
"63","44851","64198","46684"
"64","44851","68129","46742"
"65","44851","70003","46348"
"66","44851","67999","46587"
"67","44851","71195","47068"
"68","44770","72545","46860"
"69","44770","72603","46723"
"70","43429","72592","46028"
"71","43429","65998","45672"
"72","43429","72511","47046"
"73","43429","62269","44803"
"74","43429","68781","47367"
"75","43429","65428","45188"
"76","43429","67403","46195"
"77","43429","66577","45029"
"78","43429","70519","45457"
"79","43429","59560","44399"
"80","43429","71550","44917"
"81","43429","62206","44603"
"82","43429","62215","44974"
"83","43429","64234","44513"
"84","43217","63187","44081"
"85","43217","69444","44963"
"86","43217","64919","44946"
"87","43217","71805","45405"
"88","43217","69239","45908"
"89","43217","66853","44163"
"90","43217","68411","45289"
"91","43217","81334","46197"
"92","42923","64068","44562"
"93","43217","70307","44930"
"94","43217","54930","44164"
"95","43217","64914","45531"
"96","43217","61228","45209"
"97","43217","61361","44148"
"98","43114","70722","44904"
"99","43114","68535","44535"
"100","42987","62939","43754"
