"Iteracja","Best Result","Worst Result","Average Cost","Standard Deviation"
"1","75544","-2147483648","75544","0"
"2","75544","82264","78904","0"
"3","74747","82264","77518","0"
"4","74747","82264","77206","0"
"5","74747","82264","76888","0"
"6","74747","82264","76753","0"
"7","74747","82264","76627","0"
"8","72620","82264","76126","0"
"9","72620","82264","76485","0"
"10","72620","82264","76249","0"
"11","72620","82264","76491","0"
"12","70055","82264","75955","0"
"13","70055","82264","76068","0"
"14","70055","82264","76262","0"
"15","70055","82264","75953","0"
"16","70055","82264","75979","0"
"17","70055","82264","75651","0"
"18","70055","82264","75761","0"
"19","70055","82264","75562","0"
"20","70055","82264","75611","0"
"21","70055","82264","75792","0"
"22","70055","82264","75914","0"
"23","70055","82264","75890","0"
"24","70055","82264","76012","0"
"25","70055","82264","75815","0"
"26","67718","82264","75504","0"
"27","67718","82264","75324","0"
"28","67718","82264","75224","0"
"29","67718","82264","75327","0"
"30","67718","82264","75441","0"
"31","67718","82264","75467","0"
"32","67718","82264","75519","0"
"33","67718","82264","75388","0"
"34","67718","82264","75507","0"
"35","67718","82264","75416","0"
"36","67718","85762","75703","0"
"37","67718","85762","75652","0"
"38","67718","85762","75521","0"
"39","67718","85762","75657","0"
"40","67718","85762","75573","0"
"41","67718","85762","75584","0"
"42","67718","85762","75507","0"
"43","65301","85762","75270","0"
"44","65301","85762","75316","0"
"45","65301","85762","75372","0"
"46","65301","85762","75329","0"
"47","65301","85762","75366","0"
"48","65301","85762","75320","0"
"49","65301","85762","75265","0"
"50","65301","85762","75272","0"
"51","65301","85762","75255","0"
"52","65301","85762","75199","0"
"53","65301","85762","75161","0"
"54","65301","85762","75184","0"
"55","65301","85762","75159","0"
"56","65301","85762","75289","0"
"57","65301","85762","75280","0"
"58","65301","85762","75240","0"
"59","65301","85762","75249","0"
"60","65301","85762","75269","0"
"61","65301","85762","75341","0"
"62","65301","85762","75303","0"
"63","65301","85762","75322","0"
"64","65301","85762","75315","0"
"65","65301","85762","75289","0"
"66","65301","85762","75426","0"
"67","65301","85762","75440","0"
"68","65301","85762","75454","0"
"69","65301","85762","75404","0"
"70","65301","85762","75446","0"
"71","65301","85762","75398","0"
"72","65301","85762","75408","0"
"73","65301","85762","75451","0"
"74","65301","85762","75482","0"
"75","65301","85762","75502","0"
"76","65301","85762","75505","0"
"77","65301","85762","75492","0"
"78","65301","85762","75480","0"
"79","65301","85762","75513","0"
"80","65301","85762","75580","0"
"81","64996","85762","75450","0"
"82","64996","85762","75443","0"
"83","64996","85762","75416","0"
"84","64996","85762","75522","0"
"85","64996","85762","75620","0"
"86","64996","85762","75650","0"
"87","64996","85762","75686","0"
"88","64996","85762","75696","0"
"89","64996","85762","75681","0"
"90","64996","85762","75660","0"
"91","64996","85762","75678","0"
"92","64996","85762","75635","0"
"93","64996","85762","75593","0"
"94","64996","85762","75552","0"
"95","64996","85762","75541","0"
"96","64996","85762","75484","0"
"97","64996","85762","75513","0"
"98","64996","85762","75507","0"
"99","64996","85762","75521","0"
"100","64996","85762","75525","0"
"101","64996","85762","75508","0"
"102","64996","85762","75549","0"
"103","64996","85762","75599","0"
"104","64996","85762","75669","0"
"105","64996","85762","75684","0"
"106","64996","85762","75744","0"
"107","64996","85762","75756","0"
"108","64996","85762","75786","0"
"109","64996","85762","75766","0"
"110","64996","85762","75803","0"
"111","64996","85762","75769","0"
"112","64996","85762","75792","0"
"113","64996","85762","75800","0"
"114","64996","85762","75835","0"
"115","64996","85762","75821","0"
"116","64996","85762","75767","0"
"117","64996","85762","75760","0"
"118","64996","85762","75777","0"
"119","64996","85762","75794","0"
"120","64996","85762","75809","0"
"121","64996","85762","75795","0"
"122","64996","85762","75778","0"
"123","64996","85762","75769","0"
"124","64996","85762","75779","0"
"125","64996","85762","75745","0"
"126","64996","85762","75766","0"
"127","64996","85762","75790","0"
"128","64996","85762","75852","0"
"129","64996","85762","75903","0"
