"Iteracja","Best Result","Worst Result","Average Cost","Standard Deviation"
"1","461","-2147483648","461","0"
"2","395","-2147483648","428","0"
"3","395","444","433","0"
"4","395","483","445","0"
"5","395","592","475","0"
"6","395","592","487","0"
"7","386","592","473","0"
"8","386","692","500","0"
"9","378","692","486","0"
"10","378","692","478","0"
"11","378","692","484","0"
"12","378","692","487","0"
"13","378","692","499","0"
"14","378","692","495","0"
"15","374","692","486","0"
"16","374","692","486","0"
"17","374","692","487","0"
"18","374","692","494","0"
"19","371","692","488","0"
"20","371","692","493","0"
"21","345","692","486","0"
"22","345","692","494","0"
"23","345","692","494","0"
"24","345","692","494","0"
"25","345","692","497","0"
"26","345","696","505","0"
"27","345","696","503","0"
"28","345","696","501","0"
"29","345","696","502","0"
"30","345","703","509","0"
"31","345","703","507","0"
"32","345","703","503","0"
"33","335","703","498","0"
"34","335","703","499","0"
"35","335","703","501","0"
"36","335","703","501","0"
"37","335","703","500","0"
"38","335","703","503","0"
"39","335","703","505","0"
"40","335","708","510","0"
"41","335","708","510","0"
"42","335","708","510","0"
"43","335","708","511","0"
"44","335","708","509","0"
"45","335","708","510","0"
"46","335","725","514","0"
"47","335","725","514","0"
"48","335","725","514","0"
"49","335","725","511","0"
"50","335","725","510","0"
"51","335","725","510","0"
"52","335","725","511","0"
"53","335","725","514","0"
"54","335","725","511","0"
"55","335","725","511","0"
"56","335","725","514","0"
"57","335","725","515","0"
"58","335","725","513","0"
"59","335","725","513","0"
"60","335","725","512","0"
"61","335","725","511","0"
"62","335","725","513","0"
"63","335","725","512","0"
"64","335","725","511","0"
"65","335","725","512","0"
"66","335","725","512","0"
"67","335","725","511","0"
"68","335","725","511","0"
"69","335","725","511","0"
"70","335","725","509","0"
"71","335","725","511","0"
"72","335","725","511","0"
"73","335","725","511","0"
"74","335","725","511","0"
"75","335","725","511","0"
"76","335","725","511","0"
"77","335","725","512","0"
"78","335","725","511","0"
"79","335","725","511","0"
"80","335","725","513","0"
"81","335","725","514","0"
"82","335","725","514","0"
"83","335","725","514","0"
"84","335","725","516","0"
"85","335","725","516","0"
"86","335","725","517","0"
"87","335","725","516","0"
"88","335","725","517","0"
"89","335","725","518","0"
"90","335","725","519","0"
"91","335","725","518","0"
"92","335","725","520","0"
"93","335","725","520","0"
"94","335","725","520","0"
"95","335","725","520","0"
"96","335","725","521","0"
"97","335","725","521","0"
"98","335","725","522","0"
"99","335","725","521","0"
"100","335","725","521","0"
"101","335","725","522","0"
"102","335","725","523","0"
"103","335","725","524","0"
"104","335","725","525","0"
"105","335","725","525","0"
"106","335","725","524","0"
"107","335","754","527","0"
"108","335","754","526","0"
"109","335","754","527","0"
"110","335","754","527","0"
"111","335","754","528","0"
"112","335","754","527","0"
"113","335","754","528","0"
"114","309","754","526","0"
"115","309","754","526","0"
"116","309","754","526","0"
"117","309","754","524","0"
"118","309","754","525","0"
"119","309","754","525","0"
"120","309","754","525","0"
"121","309","754","525","0"
"122","233","754","523","0"
"123","233","754","523","0"
"124","233","754","523","0"
"125","233","754","523","0"
"126","233","754","524","0"
"127","233","754","524","0"
"128","233","754","525","0"
"129","233","754","525","0"
"130","233","754","525","0"
"131","233","754","525","0"
"132","233","754","524","0"
"133","233","754","523","0"
"134","233","754","523","0"
"135","233","754","524","0"
"136","233","754","524","0"
"137","233","754","523","0"
"138","233","754","523","0"
"139","233","754","523","0"
"140","233","754","523","0"
"141","233","754","523","0"
"142","233","754","523","0"
"143","233","754","523","0"
"144","233","754","523","0"
"145","233","754","524","0"
"146","233","754","523","0"
"147","233","754","523","0"
"148","233","754","523","0"
"149","233","754","523","0"
"150","233","754","523","0"
"151","233","754","523","0"
"152","233","754","524","0"
"153","233","754","523","0"
"154","233","754","522","0"
"155","233","754","521","0"
"156","233","754","522","0"
"157","233","754","522","0"
"158","233","754","522","0"
"159","233","754","522","0"
"160","233","754","523","0"
"161","233","754","523","0"
"162","233","754","524","0"
"163","233","754","524","0"
"164","233","754","525","0"
"165","233","754","525","0"
"166","233","754","525","0"
"167","233","754","525","0"
"168","233","801","527","0"
"169","233","801","527","0"
"170","233","801","527","0"
"171","233","801","528","0"
"172","233","801","528","0"
"173","233","801","527","0"
"174","233","801","528","0"
"175","233","801","528","0"
"176","233","801","527","0"
"177","233","801","528","0"
"178","233","801","528","0"
"179","233","801","528","0"
"180","233","801","528","0"
"181","233","801","528","0"
"182","233","801","528","0"
"183","233","801","528","0"
"184","233","801","528","0"
"185","233","801","528","0"
"186","233","801","528","0"
"187","233","801","528","0"
"188","233","801","528","0"
"189","233","801","529","0"
"190","233","801","529","0"
"191","233","801","529","0"
"192","233","801","529","0"
"193","233","801","529","0"
"194","233","801","529","0"
"195","233","801","528","0"
"196","233","801","529","0"
"197","233","801","529","0"
"198","233","801","528","0"
"199","233","801","528","0"
"200","233","801","527","0"
"201","233","801","526","0"
"202","233","801","526","0"
"203","233","801","525","0"
"204","233","801","526","0"
"205","233","801","526","0"
"206","233","801","526","0"
"207","233","801","526","0"
"208","233","801","526","0"
"209","233","801","526","0"
"210","233","801","525","0"
"211","233","801","525","0"
"212","233","801","525","0"
"213","233","801","525","0"
"214","233","801","525","0"
"215","233","801","525","0"
"216","233","801","525","0"
"217","233","801","525","0"
"218","233","801","524","0"
"219","233","801","525","0"
"220","233","801","525","0"
"221","233","801","525","0"
"222","233","801","525","0"
"223","233","801","524","0"
"224","233","801","524","0"
"225","233","801","524","0"
"226","233","801","524","0"
"227","233","801","523","0"
"228","233","801","523","0"
"229","233","801","523","0"
"230","233","801","524","0"
"231","233","801","524","0"
"232","233","801","524","0"
"233","233","801","524","0"
"234","233","801","524","0"
"235","233","801","524","0"
"236","233","801","523","0"
"237","233","801","523","0"
"238","233","801","523","0"
"239","233","801","522","0"
"240","233","801","522","0"
"241","233","801","523","0"
"242","233","801","523","0"
"243","233","801","523","0"
"244","233","801","523","0"
"245","233","801","523","0"
"246","233","801","523","0"
"247","233","801","522","0"
"248","233","801","522","0"
"249","233","801","522","0"
"250","233","801","522","0"
"251","233","801","522","0"
"252","233","801","522","0"
"253","233","801","522","0"
"254","233","801","522","0"
"255","233","801","523","0"
"256","233","801","523","0"
"257","233","801","523","0"
"258","233","801","524","0"
"259","233","801","524","0"
"260","233","801","524","0"
"261","233","801","524","0"
"262","233","801","523","0"
"263","233","801","523","0"
"264","233","801","523","0"
"265","233","801","523","0"
"266","233","801","523","0"
"267","233","801","524","0"
"268","233","801","524","0"
"269","233","801","524","0"
"270","233","801","525","0"
"271","233","801","525","0"
"272","233","801","525","0"
"273","233","801","525","0"
"274","233","801","525","0"
"275","233","801","525","0"
"276","233","801","525","0"
"277","233","801","525","0"
"278","233","801","525","0"
"279","233","801","525","0"
"280","233","801","525","0"
"281","233","801","524","0"
"282","233","801","524","0"
"283","233","801","523","0"
"284","233","801","523","0"
"285","233","801","523","0"
"286","233","801","523","0"
"287","233","801","522","0"
"288","233","801","522","0"
"289","233","801","521","0"
"290","233","801","521","0"
"291","233","801","521","0"
"292","233","801","520","0"
"293","233","801","520","0"
"294","233","801","521","0"
"295","233","801","521","0"
"296","233","801","521","0"
"297","233","801","521","0"
"298","233","801","520","0"
"299","233","801","520","0"
"300","233","801","520","0"
"301","233","801","520","0"
"302","233","801","519","0"
"303","233","801","519","0"
"304","233","801","519","0"
"305","233","801","519","0"
"306","233","801","519","0"
"307","233","801","519","0"
"308","233","801","518","0"
"309","233","801","518","0"
"310","233","801","518","0"
"311","233","801","518","0"
"312","233","801","517","0"
"313","233","801","518","0"
"314","233","801","518","0"
"315","233","801","518","0"
"316","233","801","517","0"
"317","233","801","517","0"
"318","233","801","517","0"
"319","233","801","517","0"
"320","233","801","517","0"
"321","233","801","518","0"
"322","233","801","518","0"
"323","233","801","518","0"
"324","233","801","517","0"
"325","233","801","517","0"
"326","233","801","518","0"
"327","233","801","517","0"
"328","233","801","517","0"
"329","233","801","517","0"
"330","233","801","518","0"
"331","233","801","518","0"
"332","233","801","517","0"
"333","233","801","517","0"
"334","233","801","517","0"
"335","233","801","517","0"
"336","233","801","517","0"
"337","233","801","516","0"
"338","233","801","517","0"
"339","233","801","517","0"
"340","233","801","517","0"
"341","233","801","517","0"
"342","233","801","517","0"
"343","233","801","517","0"
"344","233","801","518","0"
"345","233","801","518","0"
"346","233","801","518","0"
"347","233","801","519","0"
"348","233","801","519","0"
"349","233","801","519","0"
"350","233","801","518","0"
"351","233","801","518","0"
"352","233","801","518","0"
"353","233","801","519","0"
"354","233","801","519","0"
"355","233","801","519","0"
"356","233","801","519","0"
"357","233","801","520","0"
"358","233","801","519","0"
"359","233","801","519","0"
"360","233","801","520","0"
"361","233","801","519","0"
"362","233","801","520","0"
"363","233","801","520","0"
"364","233","801","520","0"
"365","233","801","520","0"
"366","233","801","520","0"
"367","233","801","520","0"
"368","233","801","520","0"
"369","233","801","520","0"
"370","233","801","521","0"
"371","233","801","521","0"
"372","233","801","521","0"
"373","233","801","521","0"
"374","233","801","521","0"
"375","233","801","521","0"
"376","233","801","520","0"
"377","233","801","520","0"
"378","233","801","520","0"
"379","233","801","520","0"
"380","233","801","520","0"
"381","233","801","520","0"
"382","233","801","520","0"
"383","233","801","520","0"
"384","233","801","520","0"
"385","233","801","521","0"
"386","233","801","521","0"
"387","233","801","520","0"
"388","233","801","520","0"
"389","233","801","520","0"
"390","233","801","521","0"
"391","233","801","521","0"
"392","233","801","521","0"
"393","233","801","521","0"
"394","233","801","521","0"
"395","233","801","521","0"
"396","233","801","521","0"
"397","233","801","521","0"
"398","233","801","521","0"
"399","233","801","521","0"
"400","233","801","521","0"
"401","233","801","521","0"
"402","233","801","521","0"
"403","233","801","521","0"
"404","233","801","521","0"
"405","233","801","521","0"
"406","233","801","521","0"
"407","233","801","521","0"
"408","233","801","521","0"
"409","233","801","521","0"
"410","233","801","521","0"
"411","233","801","521","0"
"412","233","801","521","0"
"413","233","801","521","0"
"414","233","801","522","0"
"415","233","801","522","0"
"416","233","801","522","0"
"417","233","801","522","0"
"418","233","801","522","0"
"419","233","801","522","0"
"420","233","801","522","0"
"421","233","801","522","0"
"422","233","801","522","0"
"423","233","801","521","0"
"424","233","801","521","0"
"425","233","801","521","0"
"426","233","801","522","0"
"427","233","801","521","0"
"428","233","801","522","0"
"429","233","801","521","0"
"430","233","801","521","0"
"431","233","801","521","0"
"432","233","801","521","0"
"433","233","801","521","0"
"434","233","801","522","0"
"435","233","801","521","0"
"436","233","801","521","0"
"437","233","801","521","0"
"438","233","801","521","0"
"439","233","801","521","0"
"440","233","801","522","0"
"441","233","801","521","0"
"442","233","801","521","0"
"443","233","801","521","0"
"444","233","801","520","0"
"445","233","801","520","0"
"446","233","801","521","0"
"447","233","801","521","0"
"448","233","801","521","0"
"449","233","801","521","0"
"450","233","801","521","0"
"451","233","801","521","0"
"452","233","801","521","0"
"453","233","801","521","0"
"454","233","801","521","0"
"455","233","801","521","0"
"456","233","801","521","0"
"457","233","801","521","0"
"458","233","801","521","0"
"459","233","801","521","0"
"460","233","801","521","0"
"461","233","801","521","0"
"462","233","801","522","0"
"463","233","801","522","0"
