"Iteracja","Best Result","Worst Result","Average Cost"
"1","589513","886316","682590"
"2","592614","883519","696125"
"3","575347","882129","675436"
"4","594716","883715","695321"
"5","581898","881141","677639"
"6","592982","882248","702482"
"7","578203","882320","686331"
"8","592849","883772","685703"
"9","590841","882582","685100"
"10","582900","883447","677819"
