"Iteracja","Current","Best","Worst","Average"
"1","278721","278721","278721","278721"
"2","278732","278721","278732","278726"
"3","272606","272606","278732","276686"
"4","272697","272606","278732","275689"
"5","278970","272606","278970","276345"
"6","278215","272606","278970","276656"
"7","279951","272606","279951","277127"
"8","278852","272606","279951","277343"
"9","278793","272606","279951","277504"
"10","278587","272606","279951","277612"
"11","278456","272606","279951","277689"
"12","278672","272606","279951","277771"
"13","278675","272606","279951","277840"
"14","277707","272606","279951","277831"
"15","278546","272606","279951","277878"
"16","280062","272606","280062","278015"
"17","278144","272606","280062","278022"
"18","278369","272606","280062","278041"
"19","279929","272606","280062","278141"
"20","272550","272550","280062","277861"
"21","278009","272550","280062","277868"
"22","278181","272550","280062","277882"
"23","277997","272550","280062","277887"
"24","278007","272550","280062","277892"
"25","278053","272550","280062","277899"
"26","278109","272550","280062","277907"
"27","278074","272550","280062","277913"
"28","279105","272550","280062","277956"
"29","278050","272550","280062","277959"
"30","277768","272550","280062","277952"
"31","277872","272550","280062","277950"
"32","277973","272550","280062","277951"
"33","277959","272550","280062","277951"
"34","277953","272550","280062","277951"
"35","278010","272550","280062","277952"
"36","277880","272550","280062","277950"
"37","277920","272550","280062","277950"
"38","277548","272550","280062","277939"
"39","277698","272550","280062","277933"
"40","277753","272550","280062","277928"
"41","277709","272550","280062","277923"
"42","277915","272550","280062","277923"
"43","277784","272550","280062","277920"
"44","277776","272550","280062","277916"
"45","277666","272550","280062","277911"
"46","277620","272550","280062","277904"
"47","272123","272123","280062","277781"
"48","277800","272123","280062","277782"
"49","277541","272123","280062","277777"
"50","277586","272123","280062","277773"
"51","277614","272123","280062","277770"
"52","278582","272123","280062","277785"
"53","278023","272123","280062","277790"
"54","277929","272123","280062","277792"
"55","273273","272123","280062","277710"
"56","278555","272123","280062","277725"
"57","278718","272123","280062","277743"
"58","278293","272123","280062","277752"
"59","277447","272123","280062","277747"
"60","277904","272123","280062","277750"
"61","279166","272123","280062","277773"
"62","278901","272123","280062","277791"
"63","278480","272123","280062","277802"
"64","279220","272123","280062","277824"
"65","278365","272123","280062","277832"
"66","279448","272123","280062","277857"
"67","278895","272123","280062","277872"
"68","279145","272123","280062","277891"
"69","279280","272123","280062","277911"
"70","275960","272123","280062","277883"
"71","275910","272123","280062","277856"
"72","275431","272123","280062","277822"
"73","276142","272123","280062","277799"
"74","279091","272123","280062","277816"
"75","279325","272123","280062","277836"
"76","279087","272123","280062","277853"
"77","278952","272123","280062","277867"
"78","279348","272123","280062","277886"
"79","274536","272123","280062","277844"
"80","274730","272123","280062","277805"
"81","279101","272123","280062","277821"
"82","277847","272123","280062","277821"
"83","277618","272123","280062","277819"
"84","279163","272123","280062","277835"
"85","278611","272123","280062","277844"
"86","275048","272123","280062","277811"
"87","274791","272123","280062","277777"
"88","274724","272123","280062","277742"
"89","274768","272123","280062","277708"
"90","275344","272123","280062","277682"
"91","275044","272123","280062","277653"
"92","275269","272123","280062","277627"
"93","275040","272123","280062","277599"
"94","275264","272123","280062","277575"
"95","275332","272123","280062","277551"
"96","274660","272123","280062","277521"
"97","275401","272123","280062","277499"
"98","275177","272123","280062","277475"
"99","273778","272123","280062","277438"
"100","274930","272123","280062","277413"
"101","275185","272123","280062","277391"
"102","275611","272123","280062","277373"
"103","278344","272123","280062","277383"
"104","275723","272123","280062","277367"
"105","274656","272123","280062","277341"
"106","274372","272123","280062","277313"
"107","274070","272123","280062","277283"
"108","275639","272123","280062","277267"
"109","277940","272123","280062","277274"
"110","271234","271234","280062","277219"
"111","275960","271234","280062","277207"
"112","274807","271234","280062","277186"
"113","275623","271234","280062","277172"
"114","275760","271234","280062","277160"
"115","274769","271234","280062","277139"
"116","275919","271234","280062","277128"
"117","275823","271234","280062","277117"
"118","275198","271234","280062","277101"
"119","273847","271234","280062","277074"
"120","273973","271234","280062","277048"
"121","273383","271234","280062","277017"
"122","275560","271234","280062","277005"
"123","271794","271234","280062","276963"
"124","278646","271234","280062","276977"
"125","274729","271234","280062","276959"
"126","274826","271234","280062","276942"
"127","275007","271234","280062","276927"
"128","273693","271234","280062","276901"
"129","274861","271234","280062","276885"
"130","274716","271234","280062","276869"
"131","277132","271234","280062","276871"
"132","275418","271234","280062","276860"
"133","274855","271234","280062","276845"
"134","279477","271234","280062","276864"
"135","274920","271234","280062","276850"
