"Iteracja","Best Result","Worst Result","Average Cost","OdchylenieStandardowe"
"1","3954095","6045021","4841009","617525.4623408508"
"2","3939077","6116851","4820614","605061.9302099416"
"3","3899084","5972987","4728007","584654.1737570765"
"4","3860768","5947630","4688586","592735.2731481574"
"5","3935928","6034725","4756656","589900.5343569601"
"6","3972605","5986323","4758879","558058.171013045"
"7","3840940","5969878","4673384","586694.100185487"
"8","3951239","5983409","4757312","567098.5476724899"
"9","3898146","5980347","4743808","591802.0596099758"
"10","3932712","5893274","4739234","562852.0700651706"
